Player Id,Age,Nationality,Over All Draft,Last Name,First Name,Position,Team,GP,Goals,Assists,Points,PlusMinus,PIM,GWG,Status,Salary
8479345,19,USA,16,Chychrun,Jakob,D,ARI,68,7,13,20,-14,47,0,RFA,925000
8475231,26,CAN,92,Cizikas,Casey,C,NYI,59,8,17,25,9,30,1,UFA,2500000
8476368,25,SWE,126,Claesson,Fredrik,D,OTT,33,3,8,11,5,4,0,RFA,700000
8476431,25,USA,36,Clendening,Adam,D,NYR,31,2,9,11,3,17,0,RFA,600000
8475160,26,CAN,35,Clifford,Kyle,LW/C,L.A,73,6,6,12,-2,92,0,UFA,1250000
8473504,30,CAN,72,Clutterbuck,Cal,RW,NYI,66,5,15,20,2,28,1,UFA,3500000
8470601,32,CAN,8,Coburn,Braydon,D,T.B,80,5,7,12,-1,50,0,UFA,3700000
8471699,30,CAN,25,Cogliano,Andrew,LW/C/RW,ANA,82,16,19,35,11,26,2,UFA,3100000
8474577,27,CAN,16,Colborne,Joe,C/LW/RW,COL,62,4,4,8,-21,34,0,UFA,2500000
8474013,28,USA,18,Cole,Ian,D,PIT,81,5,21,26,26,72,1,UFA,2300000
8476399,26,USA,75,Coleman,Blake,C/LW,N.J,23,1,1,2,-7,27,0,RFA,692500
8471260,31,CAN,47,Comeau,Blake,LW/RW,COL,77,8,12,20,-19,58,1,UFA,2400000
8477456,22,USA,35,Compher,J.T.,LW/C,COL,21,3,2,5,0,4,1,RFA,925000
8476195,28,CAN,,Conacher,Cory,C/LW,T.B,11,1,3,4,0,4,0,UFA,575000
8473588,31,USA,211,Condra,Erik,RW,T.B,13,0,0,0,-4,4,0,UFA,1250000
8475246,27,CAN,83,Connauton,Kevin,D,ARI,24,0,1,1,-1,24,0,UFA,950000
8475792,25,CAN,6,Connolly,Brett,RW/LW,WSH,66,15,8,23,20,40,3,RFA,850000
8478398,21,USA,17,Connor,Kyle,LW,WPG,20,2,3,5,-7,4,1,RFA,925000
8477429,23,USA,104,Copp,Andrew,C,WPG,64,9,8,17,8,18,1,RFA,925000
8476302,24,CAN,150,Corrado,Frank,D,PIT/TOR,4,0,0,0,-1,8,0,RFA,600000
8476393,24,CAN,68,Cousins,Nick,C/LW,PHI,60,6,10,16,-6,31,0,RFA,840000
8474053,28,CAN,9,Couture,Logan,C/LW,S.J,73,25,27,52,11,12,3,UFA,6000000
8476461,25,CAN,8,Couturier,Sean,C,PHI,66,14,20,34,12,33,2,UFA,3750000
8475745,25,USA,28,Coyle,Charlie,C/RW,MIN,82,18,38,56,13,36,5,UFA,2600000
8471490,32,CAN,279,Cracknell,Adam,RW/C,DAL,69,10,6,16,9,12,2,UFA,600000
